
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
8636,Uttar Pradesh,Pilibhit,Sabalpur Khas,80.1688,28.4375,2023,8.09,418,0,214,7,0.16,8,0,0.00,190,48,17,6,1,0.19,35.87,0.00
8637,Uttar Pradesh,Pratapgarh,Block Office,82.0999,25.9072,2023,8.45,1550,48,659,57,2.40,94,0,0.00,170,20,29,305,4,0.13,0.00,28.00
8638,Uttar Pradesh,Pratapgarh,Jilla Panchayat Office,81.5822,25.7992,2023,8.17,765,0,403,35,0.62,21,16,0.00,200,28,31,96,5,0.10,0.00,33.71
8639,Uttar Pradesh,Pratapgarh,Block Office,82.1056,25.7456,2023,8.12,881,0,512,28,1.60,10,0,0.00,250,32,41,99,9,0.55,0.00,30.00
8640,Uttar Pradesh,Pratapgarh,Muar,82.0086,25.7528,2023,8.07,627,0,342,14,0.93,18,5,0.00,240,40,34,39,3,0.43,0.00,14.06
8641,Uttar Pradesh,Pratapgarh,Block Office,81.3692,25.8017,2023,8.09,740,0,439,21,1.07,0,0,0.00,270,24,50,56,2,2.41,0.00,0.00
8642,Uttar Pradesh,Pratapgarh,Bhadchak,81.4350,25.7561,2023,8.17,710,0,403,14,1.36,17,5,0.00,300,40,48,28,3,0.00,0.00,21.88
8643,Uttar Pradesh,Pratapgarh,Ramapur,81.5836,25.6472,2023,8.02,683,0,378,28,1.42,22,0,0.00,310,48,46,29,2,0.60,0.00,8.38
8644,Uttar Pradesh,Pratapgarh,Block Office,81.7590,25.8959,2023,7.99,729,0,439,21,0.88,5,0,0.00,250,28,43,64,4,0.93,0.00,23.00
8645,Uttar Pradesh,Pratapgarh,Block Office,81.8571,25.8016,2023,8.06,592,0,329,21,0.78,8,5,0.00,200,28,31,50,3,0.00,0.00,7.00
8646,Uttar Pradesh,Pratapgarh,Wari Kalan,82.1419,26.0244,2023,7.93,625,0,366,14,0.42,5,0,0.00,260,52,31,30,3,0.14,0.00,11.94
8647,Uttar Pradesh,Pratapgarh,Bhogipur Katar,82.3039,25.8936,2023,8.03,1018,0,488,71,0.87,51,0,0.00,290,28,53,115,2,1.34,0.00,22.67
8648,Uttar Pradesh,Pratapgarh,Block Office,82.1983,25.9224,2023,7.94,551,0,317,21,0.39,6,5,0.00,210,28,34,39,5,0.10,0.00,10.00
8649,Uttar Pradesh,Pratapgarh,Block Office,81.9800,25.9078,2023,7.96,750,0,439,21,0.83,5,6,0.00,250,40,36,72,5,0.00,0.00,30.00
8650,Uttar Pradesh,Pratapgarh,Tonipur,81.8925,25.8892,2023,8.44,2126,72,976,92,5.00,88,14,0.00,130,16,22,455,2,0.19,1.18,83.85
8651,Uttar Pradesh,Pratapgarh,Block Office,81.8838,26.0377,2023,7.94,879,0,525,14,0.69,5,5,0.00,350,32,65,53,5,1.24,0.00,14.00
8652,Uttar Pradesh,Pratapgarh,Bashuapur,81.7108,26.0158,2023,8.16,800,0,427,35,1.68,19,17,0.00,190,32,26,108,3,0.25,0.00,9.55
8653,Uttar Pradesh,Pratapgarh,Block Office,81.6545,26.0554,2023,8.12,1829,0,610,43,0.31,312,0,0.00,180,24,29,307,5,0.75,0.00,17.00
8654,Uttar Pradesh,Pratapgarh,Block Office,81.4946,25.8601,2023,8.43,1175,60,500,35,1.00,39,0,0.00,70,12,10,240,2,0.00,4.00,28.00
8655,Uttar Pradesh,Prayagraj,Dunnaiya,82.0017,25.6378,2023,8.43,1336,48,415,99,2.04,140,0,0.00,50,12,5,295,0,0.00,3.38,15.23
8656,Uttar Pradesh,Prayagraj,Ashrave Kalan,81.7261,25.3753,2023,7.79,956,0,537,43,0.95,0,19,0.00,290,56,36,100,3,0.06,0.00,12.97
8657,Uttar Pradesh,Prayagraj,Ajbaiya,81.9033,25.3628,2023,7.69,693,0,366,21,0.59,6,8,0.00,300,32,53,22,2,0.00,0.00,8.22
8658,Uttar Pradesh,Prayagraj,Bhirpur,81.9933,25.2631,2023,7.56,474,0,207,43,0.42,15,15,0.00,210,24,36,21,1,0.15,0.00,0.00
8659,Uttar Pradesh,Prayagraj,Badokhar Korao,81.9450,24.9042,2023,7.91,801,0,439,35,0.60,13,6,0.00,320,52,46,55,1,1.14,0.00,3.63
8660,Uttar Pradesh,Prayagraj,Dhao,82.1253,25.0003,2023,7.91,396,0,159,21,0.36,14,0,0.00,110,24,12,27,4,0.98,5.12,0.00
8661,Uttar Pradesh,Prayagraj,Jamuaa Dhush,82.0222,24.8981,2023,8.16,799,0,366,57,0.67,13,30,0.00,370,88,36,23,1,0.29,0.00,4.99
8662,Uttar Pradesh,Prayagraj,Shivpur,82.1353,24.8939,2023,8.08,1129,0,525,78,1.40,37,18,0.00,200,32,29,190,0,0.13,0.00,5.84
8663,Uttar Pradesh,Prayagraj,Kachara,81.8856,25.1253,2023,7.90,450,0,171,28,0.43,60,0,0.00,200,48,19,17,3,16.63,0.00,0.00
8664,Uttar Pradesh,Prayagraj,Chanethu,82.2875,25.5078,2023,7.97,1690,0,586,135,0.60,145,22,0.00,340,40,58,240,3,0.37,0.00,23.44
8665,Uttar Pradesh,Prayagraj,Rajrooppur,81.7856,25.4364,2023,7.69,855,0,366,64,0.43,29,24,0.00,340,76,36,43,3,0.00,0.00,8.29
8666,Uttar Pradesh,Prayagraj,Senri,82.0069,25.4972,2023,7.98,594,0,329,7,0.78,22,18,0.00,310,56,41,6,1,0.62,0.00,8.90
8667,Uttar Pradesh,Prayagraj,Gadaya Lonipara,81.7031,25.0975,2023,7.94,1533,0,512,213,1.56,82,0,0.00,320,40,53,230,0,1.36,0.00,5.50
8668,Uttar Pradesh,Prayagraj,Pratappur,81.5556,25.2878,2023,8.13,947,0,427,64,2.85,40,13,0.00,110,16,17,176,1,0.11,0.00,11.66
8669,Uttar Pradesh,Prayagraj,Faizullapur,81.9317,25.4903,2023,7.91,1316,0,451,135,0.63,55,97,0.00,540,56,96,81,3,0.25,0.00,20.47
8670,Uttar Pradesh,Raebareli,Block Office,81.3077,26.2827,2023,7.98,799,0,451,14,0.69,0,8,0.00,320,48,48,33,6,2.35,0.00,5.00
8671,Uttar Pradesh,Raebareli,Block Office,81.5179,26.2665,2023,7.97,992,0,543,21,0.96,14,0,0.00,180,28,26,141,4,1.11,0.00,25.00
8672,Uttar Pradesh,Raebareli,Block Office,81.5184,26.1597,2023,8.11,1577,0,671,128,2.21,44,0,0.00,220,48,24,255,5,0.16,1.00,66.00
8673,Uttar Pradesh,Raebareli,"Pakra Girifta, Pure Baisanpurwa",81.1582,26.1485,2023,8.14,1022,0,488,50,1.19,28,0,0.00,290,32,50,98,6,0.27,0.00,38.71
8674,Uttar Pradesh,Raebareli,"Majare Tera, Baraula",81.0421,26.3979,2023,7.92,487,0,268,7,0.37,0,9,0.00,190,52,14,23,3,2.65,0.00,3.53
8675,Uttar Pradesh,Raebareli,Block Office,81.1618,26.3447,2023,7.99,796,0,268,99,1.00,28,0,0.00,380,60,55,6,3,0.35,0.00,9.00
8676,Uttar Pradesh,Raebareli,Block Office,80.9276,26.2917,2023,7.73,1414,0,476,178,0.40,44,10,0.00,540,132,50,67,11,17.85,72.00,0.00
8677,Uttar Pradesh,Raebareli,Block Office,80.9758,26.1705,2023,8.03,1689,0,659,170,1.51,53,8,0.00,540,68,89,135,6,0.45,0.00,68.00
8678,Uttar Pradesh,Raebareli,Block Office,81.2744,26.3847,2023,8.01,1051,0,500,36,0.81,39,12,0.00,340,56,48,77,5,0.51,0.00,38.00
8679,Uttar Pradesh,Raebareli,"Korchandamau, Bhadokhar",81.3103,26.1534,2023,7.96,679,0,342,21,0.67,22,6,0.00,260,48,34,35,3,0.42,1.04,7.37
8680,Uttar Pradesh,Raebareli,"Rajapur, Bhojpur",80.7413,26.1434,2023,7.82,792,0,427,14,0.70,11,17,0.00,370,60,53,9,5,0.29,0.00,16.05
8681,Uttar Pradesh,Raebareli,Block Office,80.8282,26.1546,2023,8.02,1101,0,549,36,2.04,36,0,0.00,100,12,17,205,1,0.30,1.00,32.00
8682,Uttar Pradesh,Raebareli,"Sekhapur, Guru Buxaganj",81.0258,26.2721,2023,8.04,642,0,305,7,1.99,44,8,0.00,160,24,24,72,3,0.67,1.09,15.85
8683,Uttar Pradesh,Raebareli,Chandi Singh Ka Purwa,81.3026,26.5335,2023,8.09,525,0,281,7,0.72,11,10,0.00,190,24,31,30,5,1.28,0.00,11.70
8684,Uttar Pradesh,Raebareli,Block Office,81.2959,25.9040,2023,7.60,1264,0,561,92,0.87,23,13,0.00,380,48,62,109,6,0.50,0.00,5.00
8685,Uttar Pradesh,Rampur,Faiznagar,79.2814,28.8215,2023,8.00,560,0,329,14,0.62,10,0,0.00,220,44,26,36,2,0.00,3.66,37.38
8686,Uttar Pradesh,Rampur,Kajarhai,79.1405,28.8277,2023,7.90,661,0,366,14,0.30,34,0,0.00,280,36,46,35,3,3.38,0.00,0.00
8687,Uttar Pradesh,Rampur,Majra Ladauri,79.0000,28.6857,2023,8.01,445,0,238,14,0.35,24,0,0.00,100,36,2,64,2,0.30,11.39,3.27
8688,Uttar Pradesh,Rampur,Block Office,79.1681,28.6129,2023,7.81,750,0,451,7,0.30,23,0,0.00,290,28,53,43,16,4.51,10.00,0.00
8689,Uttar Pradesh,Rampur,Brijpur,79.1291,28.6799,2023,7.92,637,0,390,14,0.32,20,0,0.00,320,48,48,19,2,6.63,15.25,0.00
8690,Uttar Pradesh,Rampur,Bamna,79.2814,28.9492,2023,7.93,631,0,354,7,0.36,43,0,0.00,250,44,34,44,2,0.00,3.66,37.38
8691,Uttar Pradesh,Rampur,Gangawara,79.1260,29.0687,2023,8.00,790,0,415,14,0.32,38,0,0.00,335,48,52,29,2,0.48,0.00,0.00
8692,Uttar Pradesh,Rampur,Block Office,79.0111,28.5632,2023,7.82,1671,0,366,206,0.34,156,84,0.00,580,52,108,103,12,0.19,0.00,9.00
8693,Uttar Pradesh,Rampur,Block Office,79.0594,29.0328,2023,8.12,581,0,305,14,0.28,41,0,0.00,260,44,36,23,2,0.61,0.00,3.00
8694,Uttar Pradesh,Saharanpur,Near Chander House,77.6536,29.9337,2023,7.89,506,0,293,7,0.16,12,10,0.00,190,36,24,30,4,0.49,0.00,0.00
8695,Uttar Pradesh,Saharanpur,In Block Office,77.6822,29.6875,2023,7.92,800,0,329,85,0.81,43,0,0.00,310,64,36,46,8,0.22,0.00,19.00
8696,Uttar Pradesh,Saharanpur,In Block Office,77.2603,29.7842,2023,7.93,750,0,329,57,0.79,31,21,0.00,320,46,50,40,6,0.15,0.00,51.00
8697,Uttar Pradesh,Saharanpur,Primary School Kamalpur,77.7397,30.0571,2023,7.89,482,0,281,7,0.00,0,5,0.00,170,40,17,40,1,0.07,6.32,15.16
8698,Uttar Pradesh,Saharanpur,Primary School Maurangpur,77.7745,30.1752,2023,8.10,443,0,244,7,0.20,12,23,0.00,190,42,21,18,0,2.54,0.00,4.31
8699,Uttar Pradesh,Saharanpur,In Block Office,77.6294,29.8422,2023,7.62,560,0,354,7,0.74,0,0,0.00,240,29,41,24,5,2.66,11.00,4.00
8700,Uttar Pradesh,Saharanpur,In Block Office,77.3017,29.9181,2023,7.60,1085,0,415,85,0.45,53,38,0.00,345,54,51,98,7,0.24,0.00,4.00
8701,Uttar Pradesh,Saharanpur,Near Nausad Chicken Shope,77.3662,29.6673,2023,7.51,945,0,415,64,0.39,48,0,0.00,320,68,36,76,14,0.00,0.00,58.99
8702,Uttar Pradesh,Saharanpur,Near Temple On Road,77.5177,29.6785,2023,8.03,620,0,256,43,0.21,35,9,0.00,240,46,30,32,6,0.00,2.07,12.35
8703,Uttar Pradesh,Saharanpur,In Block Office,77.4569,29.8083,2023,7.54,502,0,268,7,0.86,33,0,0.00,230,36,34,13,5,0.55,1.00,3.00
8704,Uttar Pradesh,Saharanpur,In Block Office,77.5764,30.2011,2023,7.45,515,0,305,7,0.61,12,0,0.00,240,29,41,13,2,0.00,0.00,4.00
8705,Uttar Pradesh,Saharanpur,In Side Temple,77.6447,30.3197,2023,7.75,747,0,354,28,0.00,29,27,0.00,320,46,50,26,4,0.74,1.37,25.90
8706,Uttar Pradesh,Saharanpur,,77.5773,30.2010,2023,7.45,515,0,305,7,0.61,12,0,0.00,240,29,41,13,2,0.00,0.00,4.49
8707,Uttar Pradesh,Saharanpur,In Block Office,77.3992,30.0117,2023,7.57,848,0,451,50,0.53,27,0,0.00,310,50,45,62,6,7.03,5.00,10.00
8708,Uttar Pradesh,Saharanpur,Near Eidgah,77.5091,30.0495,2023,7.78,505,0,256,14,0.00,34,0,0.00,195,38,24,27,4,0.00,0.00,40.19
8709,Uttar Pradesh,Sambhal,Narsai,78.7133,28.4322,2023,8.00,460,0,281,14,0.34,0,0,0.00,210,40,26,18,4,2.47,2.63,6.02
8710,Uttar Pradesh,Sambhal,Block Hq,78.4427,28.2346,2023,7.90,1300,0,366,92,0.30,157,49,0.00,400,60,60,91,41,0.24,0.00,9.59
8711,Uttar Pradesh,Sambhal,Sonwasarai,78.5673,28.2978,2023,7.70,478,0,183,28,0.40,21,28,0.00,200,64,10,14,3,0.05,11.69,5.84
8712,Uttar Pradesh,Sambhal,,78.4298,28.4176,2023,7.94,544,0,305,14,0.50,0,0,0.00,170,64,2,46,3,0.95,1.04,19.63
8713,Uttar Pradesh,Sambhal,Ibrahimpur Mirza,78.7133,28.5493,2023,7.70,818,0,403,57,0.36,10,0,0.00,300,60,36,52,6,2.47,2.63,6.02
8714,Uttar Pradesh,Sant Kabir Nagar,Block Office,83.0563,26.8312,2023,7.76,444,0,244,7,0.42,8,0,0.00,180,48,14,18,2,0.14,0.00,0.00
8715,Uttar Pradesh,Sant Kabir Nagar,Block Office,83.0053,26.9839,2023,8.09,632,0,336,14,0.48,0,0,0.00,260,56,29,23,3,0.25,4.00,0.00
8716,Uttar Pradesh,Sant Kabir Nagar,Shukul Mundera,83.1538,26.5102,2023,8.01,520,0,293,7,0.35,0,0,0.00,210,40,26,21,2,2.01,0.00,0.00
8717,Uttar Pradesh,Sant Kabir Nagar,Block Office,83.0235,26.5454,2023,8.02,507,0,244,7,0.55,15,19,0.00,230,48,26,8,3,0.00,0.00,3.00
8718,Uttar Pradesh,Sant Kabir Nagar,"In The Premises Of Pwd, I.B.Adj. To",83.0836,26.7596,2023,7.97,632,0,317,28,0.45,7,0,0.00,260,36,41,24,3,3.25,0.00,3.00
8719,Uttar Pradesh,Sant Kabir Nagar,Block Office,83.1500,26.9751,2023,7.84,691,0,268,64,0.31,27,0,0.00,290,60,34,22,4,1.99,0.00,0.00
8720,Uttar Pradesh,Sant Kabir Nagar,Gagnaibabu/Gagnairao,83.1288,26.9370,2023,7.94,727,0,390,14,0.68,9,0,0.00,160,40,14,91,2,0.93,0.00,0.00
8721,Uttar Pradesh,Sant Kabir Nagar,Amiya Village; In Front Of House Of,83.0444,26.6481,2023,8.09,627,0,342,25,0.62,0,0,0.00,190,28,29,67,2,0.31,0.00,9.93
8722,Uttar Pradesh,Sant Kabir Nagar,Mukundpur Village; Adjacent To,83.0098,26.6348,2023,7.89,590,0,232,43,0.41,36,0,0.00,250,68,19,19,4,0.56,1.62,0.00
8723,Uttar Pradesh,Sant Kabir Nagar,Nokta Trijunction On Mushkilpur,83.0284,26.6266,2023,7.94,428,0,220,14,0.00,6,0,0.00,160,48,10,19,2,0.72,0.00,0.00
8724,Uttar Pradesh,Sant Kabir Nagar,On Mushkilpur Road Towards,83.0262,26.6513,2023,7.92,458,0,268,7,0.35,0,0,0.00,220,48,24,3,3,1.75,0.00,0.00
8725,Uttar Pradesh,Sant Kabir Nagar,Block Office,83.0383,26.6612,2023,8.34,887,18,439,14,0.29,6,0,0.00,200,36,26,108,2,0.61,1.00,0.00
8726,Uttar Pradesh,Sant Kabir Nagar,Village- Kharcha; In Front Of House,82.8859,26.5922,2023,7.94,518,0,268,14,0.25,7,0,0.00,220,44,26,13,3,1.26,0.00,3.73
8727,Uttar Pradesh,Sant Kabir Nagar,Village- Kheswasiyan; Adjacent To,82.8879,26.5956,2023,7.72,584,0,293,21,0.12,15,0,0.00,240,64,19,17,4,3.42,32.97,0.00
8728,Uttar Pradesh,Sant Kabir Nagar,Village- Parsa; Near Raj Traders,82.8823,26.5911,2023,7.92,654,0,293,28,0.11,35,0,0.00,280,68,26,20,7,3.79,17.13,0.00
8729,Uttar Pradesh,Sant Kabir Nagar,Village-Para Hargovind; In Front Of,82.9434,26.5703,2023,7.84,464,0,232,14,0.21,11,0,0.00,190,40,22,14,3,1.26,2.15,0.00
8730,Uttar Pradesh,Sant Kabir Nagar,Block Office,82.9019,26.5858,2023,8.06,594,0,317,14,0.18,0,0,0.00,270,56,31,9,4,0.49,18.00,0.00
8731,Uttar Pradesh,Sant Kabir Nagar,Block Office,83.0110,27.0086,2023,8.32,452,12,207,14,0.18,18,0,0.00,180,52,12,19,3,0.19,9.00,0.00
8732,Uttar Pradesh,Sant Kabir Nagar,Village- Karma Kalan; In Front Of H/O,83.0549,27.0032,2023,8.25,579,0,317,14,0.44,0,0,0.00,250,68,19,17,2,0.24,4.30,0.00
8733,Uttar Pradesh,Sant Kabir Nagar,Village- Loharsan; Opposite Chotu,83.0264,26.9975,2023,7.84,612,0,256,50,0.16,24,0,0.00,250,52,29,23,5,0.90,1.66,3.23
8734,Uttar Pradesh,Sant Kabir Nagar,"Village- Toyam Chapiya, Near Durga",83.0518,26.9807,2023,8.24,562,0,305,14,0.40,0,0,0.00,230,64,17,19,3,0.14,1.89,0.00
8735,Uttar Pradesh,Sant Kabir Nagar,Village-Amathari; On Rhs Of Main,83.0357,27.0109,2023,5.25,462,0,256,7,0.22,0,0,0.00,210,48,22,8,3,0.18,3.66,0.00
8736,Uttar Pradesh,Sant Kabir Nagar,Abbasganj,83.0039,26.9094,2023,8.19,372,0,195,14,0.30,0,0,0.00,160,36,17,9,2,0.67,1.72,0.00
8737,Uttar Pradesh,Sant Kabir Nagar,Block Office,82.8961,26.8789,2023,7.94,620,0,336,11,0.29,0,0,0.00,250,40,36,26,3,1.64,2.00,4.00
8738,Uttar Pradesh,Sant Ravidas Nagar,Abhawali,82.3683,25.4464,2023,7.99,769,0,366,21,1.09,33,10,0.00,220,32,34,68,5,0.19,0.00,13.00
8739,Uttar Pradesh,Sant Ravidas Nagar,Aurai,82.5539,25.2597,2023,7.60,581,0,220,50,0.80,14,6,0.00,220,60,17,24,2,0.39,0.00,0.00
8740,Uttar Pradesh,Sant Ravidas Nagar,Bhadohi,82.5642,25.3953,2023,7.92,1712,0,817,7,0.83,70,107,0.00,570,48,108,120,7,0.17,0.00,47.00
8741,Uttar Pradesh,Sant Ravidas Nagar,Deeh,82.3039,25.2972,2023,7.97,740,0,366,28,1.00,25,17,0.00,290,36,48,42,2,0.16,0.00,14.00
8742,Uttar Pradesh,Sant Ravidas Nagar,Block Office,82.4708,26.3344,2023,8.14,898,0,470,35,0.70,10,0,0.00,270,32,46,79,5,1.43,1.00,20.00
8743,Uttar Pradesh,Sant Ravidas Nagar,Suriyawa,82.4269,25.4608,2023,8.00,901,0,317,85,0.91,41,18,0.00,300,52,41,64,3,0.82,0.00,6.00
8744,Uttar Pradesh,Sant Ravidas Nagar,Bhidua,82.4316,25.3768,2023,8.09,594,0,366,14,0.58,0,0,0.00,190,40,22,59,3,1.71,0.00,8.18
8745,Uttar Pradesh,Shahjahanpur,Bhabhi,80.0026,28.2790,2023,8.18,342,0,159,7,0.12,30,0,0.00,160,36,17,3,3,0.59,0.00,0.00
8746,Uttar Pradesh,Shahjahanpur,Mouddinpur,80.1082,28.3065,2023,8.18,560,0,244,21,0.00,31,0,0.00,250,48,31,8,6,0.20,1.32,58.03
8747,Uttar Pradesh,Shahjahanpur,Azizpur,79.9893,27.8320,2023,7.94,662,0,354,7,0.48,17,0,0.00,270,40,41,22,5,0.64,7.14,6.74
8748,Uttar Pradesh,Shahjahanpur,Block Hq,79.9199,27.8394,2023,7.68,694,0,366,21,0.26,10,0,0.00,290,44,43,23,5,1.44,1.00,0.00
8749,Uttar Pradesh,Shahjahanpur,Block Hq,79.8701,27.8367,2023,8.35,792,6,378,14,0.30,31,0,0.00,130,44,5,118,3,1.72,13.00,0.00
8750,Uttar Pradesh,Shahjahanpur,Sahbajnagar,79.8835,27.9173,2023,7.90,886,0,323,25,0.34,115,0,0.00,350,56,50,39,6,6.72,2.46,3.66
8751,Uttar Pradesh,Shahjahanpur,Block Hq,79.5705,27.9939,2023,8.04,507,0,268,14,0.37,0,0,0.00,220,44,26,14,3,1.05,12.00,0.00
8752,Uttar Pradesh,Shahjahanpur,Nagra,79.6083,27.9177,2023,8.20,427,0,195,14,0.42,20,0,0.00,190,48,17,8,2,0.97,2.49,0.00
8753,Uttar Pradesh,Shahjahanpur,Block Hq,79.6649,27.7222,2023,8.42,451,6,220,14,0.30,5,0,0.00,170,48,12,24,3,0.28,4.00,5.00
8754,Uttar Pradesh,Shahjahanpur,Masulpur (Nayagaon),79.6014,27.8189,2023,8.10,464,0,244,7,0.24,5,0,0.00,195,44,20,13,3,0.86,0.00,0.00
8755,Uttar Pradesh,Shahjahanpur,Block Hq,79.4455,27.7033,2023,7.94,930,0,293,85,0.18,81,0,0.00,290,64,31,80,4,5.74,0.00,18.00
8756,Uttar Pradesh,Shahjahanpur,Dewada,79.4133,27.7777,2023,7.96,586,0,305,18,0.34,0,0,0.00,200,40,24,39,4,2.24,0.00,10.79
8757,Uttar Pradesh,Shahjahanpur,Rampur,79.7129,28.0524,2023,8.00,550,0,293,7,0.19,9,0,0.00,230,48,26,18,4,1.15,8.61,0.00
8758,Uttar Pradesh,Shahjahanpur,Block Hq,80.2698,28.2082,2023,7.54,667,0,305,36,0.22,25,0,0.00,280,52,36,18,5,3.84,7.00,0.00
8759,Uttar Pradesh,Shahjahanpur,Chandpur,80.3090,28.3185,2023,8.20,554,0,238,28,0.29,17,0,0.00,240,56,24,9,4,1.26,7.28,0.00
8760,Uttar Pradesh,Shahjahanpur,Haripur,80.2943,28.4485,2023,7.94,560,0,256,11,0.27,31,0,0.00,260,56,29,4,3,2.73,2.40,0.00
8761,Uttar Pradesh,Shahjahanpur,Nawazpur,80.2396,28.1519,2023,8.16,525,0,244,14,0.00,22,0,0.00,230,48,26,10,5,0.08,0.00,0.00
8762,Uttar Pradesh,Shahjahanpur,Block Hq,79.5480,27.6705,2023,8.25,754,0,415,7,1.27,16,0,0.00,120,24,14,116,3,0.37,1.00,20.00
8763,Uttar Pradesh,Shahjahanpur,Block Hq,79.8653,28.1029,2023,8.37,844,6,427,21,0.46,11,8,0.00,340,64,43,27,26,0.11,1.00,4.00
8764,Uttar Pradesh,Shahjahanpur,Chainpura,79.8703,28.1839,2023,8.05,1324,0,305,135,0.50,136,51,0.00,460,56,77,70,11,0.00,0.00,5.47
8765,Uttar Pradesh,Shahjahanpur,Block Hq,79.9742,27.9704,2023,8.10,1257,0,561,92,0.50,0,0,0.00,440,36,84,80,3,2.24,0.00,4.00
8766,Uttar Pradesh,Shahjahanpur,Kaluwapur,80.0083,28.0656,2023,8.05,632,0,311,11,0.15,23,0,0.00,260,48,34,21,4,1.92,0.00,4.31
8767,Uttar Pradesh,Shamli,Kandela,77.2451,29.4287,2023,8.07,1175,0,671,28,0.79,19,6,0.00,180,42,18,208,6,0.00,0.00,20.83
8768,Uttar Pradesh,Shamli,,77.2169,29.3997,2023,8.02,755,0,415,28,0.68,19,0,0.00,210,44,24,92,6,0.80,0.00,12.02
8769,Uttar Pradesh,Shamli,Islampur Ghasauli,77.2437,29.2973,2023,7.94,878,0,500,14,1.05,36,12,0.00,360,36,66,52,9,5.96,0.00,37.05
8770,Uttar Pradesh,Shamli,Near Faizu House,77.3865,29.2937,2023,7.66,685,0,403,14,0.36,6,6,0.00,265,46,36,46,6,0.21,0.00,23.77
8771,Uttar Pradesh,Shamli,,77.2665,29.3230,2023,8.03,1140,0,354,156,0.56,42,32,0.00,435,106,41,72,7,0.00,0.00,48.86
8772,Uttar Pradesh,Shamli,,77.4261,29.5914,2023,8.09,462,0,281,7,0.60,0,0,0.00,160,38,16,41,5,0.00,0.00,21.32
8773,Uttar Pradesh,Shrawasti,Dikauli,81.7358,27.6508,2023,7.84,541,0,329,7,0.31,13,0,0.00,220,64,14,28,3,0.49,1.98,0.00
8774,Uttar Pradesh,Shrawasti,Block Office,81.8322,27.7400,2023,7.57,689,0,427,14,0.50,5,0,0.00,260,68,22,50,2,0.65,5.00,0.00
8775,Uttar Pradesh,Shrawasti,Block Office,81.9678,27.5275,2023,7.38,1292,0,561,113,0.20,44,0,0.00,300,68,31,172,7,3.35,3.00,0.00
8776,Uttar Pradesh,Shrawasti,Jai Chandpur Khatghara,81.8853,27.5292,2023,8.03,487,0,293,7,0.34,12,0,0.00,250,56,26,6,3,1.67,2.60,0.00
8777,Uttar Pradesh,Shrawasti,Naratpur,81.9963,27.4294,2023,7.79,679,0,378,28,0.25,10,5,0.00,260,64,24,46,2,0.00,0.00,0.00
8778,Uttar Pradesh,Shrawasti,Bhujanga,81.9641,27.8031,2023,7.97,491,0,305,7,0.00,5,5,0.00,250,64,22,7,2,0.00,0.00,0.00
8779,Uttar Pradesh,Shrawasti,Ratanpur,81.9640,27.8031,2023,7.69,1025,0,342,121,0.30,43,48,0.00,400,116,26,62,2,0.11,0.00,6.41
8780,Uttar Pradesh,Siddharth Nagar,Badhni,82.7769,27.4892,2023,7.62,702,0,439,7,0.73,0,0,0.00,250,80,12,55,0,2.77,14.00,0.00
8781,Uttar Pradesh,Siddharth Nagar,Block Office,82.9292,27.1717,2023,7.77,988,0,476,64,0.45,22,0,0.00,410,64,60,48,4,0.36,6.00,4.00
8782,Uttar Pradesh,Siddharth Nagar,Block Office,83.1100,27.3422,2023,7.55,924,0,403,78,0.46,59,0,0.00,300,64,34,96,3,1.23,4.00,0.00
8783,Uttar Pradesh,Siddharth Nagar,Jhulnipur Chauraha,82.8854,27.4177,2023,7.58,688,0,439,7,0.35,0,0,0.00,290,60,34,41,1,1.18,1.23,0.00
8784,Uttar Pradesh,Siddharth Nagar,Block Office,82.6453,27.2633,2023,8.03,556,0,317,21,0.39,7,0,0.00,260,80,14,18,3,2.68,10.00,0.00
8785,Uttar Pradesh,Siddharth Nagar,Parsa Belhari,83.1628,27.4048,2023,7.81,509,0,329,7,0.33,0,0,0.00,200,52,17,32,1,0.40,0.00,4.80
8786,Uttar Pradesh,Siddharth Nagar,Gabgwar Chauraha,82.6638,27.1677,2023,7.47,697,0,329,57,0.00,11,12,0.00,250,72,17,60,2,0.00,0.00,0.00
8787,Uttar Pradesh,Siddharth Nagar,Murgihwa,82.4458,27.1661,2023,8.03,577,0,366,7,0.40,5,0,0.00,190,56,12,58,3,0.00,1.98,0.00
8788,Uttar Pradesh,Siddharth Nagar,Block Office,82.6517,27.1942,2023,7.97,738,0,378,50,0.00,9,0,0.00,340,92,26,26,3,0.09,0.00,0.00
8789,Uttar Pradesh,Siddharth Nagar,Block Office,82.6931,27.3217,2023,8.02,471,0,281,7,0.00,6,0,0.00,200,56,14,22,2,0.85,6.00,0.00
8790,Uttar Pradesh,Siddharth Nagar,Block Office,83.0081,27.2528,2023,7.07,691,0,427,14,0.56,5,0,0.00,250,50,30,59,2,0.85,26.00,0.00
8791,Uttar Pradesh,Siddharth Nagar,Block Office,82.9872,27.0728,2023,7.92,490,0,317,7,0.00,0,0,0.00,200,52,17,29,3,9.38,4.00,0.00
